advertising_usd,store_visits,weekly_sales_usd
746,587,13090
329,457,11337
1844,211,10000
1137,281,8517
1299,397,11801
469,242,7773
270,176,3881
1840,308,12078
780,464,11954
769,401,11443
1997,536,15049
709,482,11063
1634,320,11105
1842,577,17771
926,196,7277
218,498,11296
1685,499,14474
1837,432,14351
530,484,10929
464,552,11228
369,376,7731
793,432,10126
205,363,6947
527,378,10488
691,330,8466
1739,347,11471
679,222,7435
498,230,5866
1029,354,10878
278,208,5613
1206,383,10046
651,457,11828
1937,440,13406
1694,431,12877
1361,360,11894
1902,518,15330
1404,511,13901
616,215,6750
872,529,13834
1323,190,8112
998,463,12430
963,162,6576
394,304,6890
367,423,9235
858,585,15093
1326,344,11119
1155,577,15285
674,523,12577
1475,456,13282
994,435,10553
1898,231,9422
591,593,12224
1901,392,14195
1282,564,13728
939,553,13938
603,289,8789
651,172,4937
680,293,7460
851,396,10102
1100,341,10530
622,246,7813
771,424,10696
1126,172,7602
1557,385,13306
1801,381,14012
731,336,8940
600,470,12223
1687,211,9281
1984,264,10154
1874,277,10652
1290,545,14801
1918,455,13990
