temperature_c,ice_cream_sales_usd
8,1067
8.5,1162
9,1136
9.5,1277
10,1283
10.5,1426
11,1418
11.5,1506
12,1584
12.5,1678
13,1666
13.5,1751
14,1809
14.5,1923
15,2055
15.5,2092
16,1998
16.5,2074
17,2121
17.5,2290
18,2285
18.5,2238
19,2300
19.5,2379
20,2393
20.5,2501
21,2607
21.5,2596
22,2613
22.5,2699
23,2703
23.5,2735
24,2809
24.5,2772
25,2782
25.5,2865
26,2838
26.5,2842
27,2950
27.5,2892
28,3007
28.5,2981
29,2954
29.5,2993
30,3000
30.5,3160
31,3086
31.5,3042
32,3205
32.5,3064
33,3172
33.5,3132
34,3207
34.5,3096
35,3259
35.5,3231
36,3231
36.5,3265
37,3179
37.5,3270
38,3237
38.5,3179
39,3254
39.5,3218
